Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;19 Melilla;De 20 a 24 años;2022;30,00
Ambos sexos;19 Melilla;De 20 a 24 años;2021;30,57
Ambos sexos;19 Melilla;De 25 a 54 años;2023;62,75
Ambos sexos;19 Melilla;De 25 a 54 años;2022;65,95
Ambos sexos;19 Melilla;De 25 a 54 años;2021;67,90
Ambos sexos;19 Melilla;55 y más años;2023;27,53
Ambos sexos;19 Melilla;55 y más años;2022;33,27
Ambos sexos;19 Melilla;55 y más años;2021;33,33
Hombres;Total Nacional;Total;2023;57,05
Hombres;Total Nacional;Total;2022;56,56
Hombres;Total Nacional;Total;2021;55,27
Hombres;Total Nacional;Menores de 25 años;2023;28,06
Hombres;Total Nacional;Menores de 25 años;2022;27,46
Hombres;Total Nacional;Menores de 25 años;2021;24,40
Hombres;Total Nacional;25 y más años;2023;61,01
Hombres;Total Nacional;25 y más años;2022;60,44
Hombres;Total Nacional;25 y más años;2021;59,30
Hombres;Total Nacional;De 16 a 19 años;2023;8,99
Hombres;Total Nacional;De 16 a 19 años;2022;8,53
Hombres;Total Nacional;De 16 a 19 años;2021;7,17
Hombres;Total Nacional;De 20 a 24 años;2023;43,54
